Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
0,Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,Single Arm,Alternating,Neutral,Other,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
1,Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
2,Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
3,Stability Ball Russian Twist ,Beginner,Abdominals,Obliques,Stability Ball,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
4,Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
5,Ring Hanging Knee Raise ,Intermediate,Abdominals,Rectus Abdominis,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
6,Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,Parallette Bars,0,Prone,Double Arm,Continuous,Neutral,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
7,Parallette Push Up,Novice,Chest,Pectoralis Major,Parallette Bars,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Calisthenics
8,Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
9,Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
10,Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Postural
11,Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Bodyweight,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
12,Bodyweight Flutter Kicks,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
13,Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
14,Bodyweight Seated Ab Circles,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Seated Floor,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
15,Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
16,Stability Ball Stir the Pot,Novice,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
17,Bodyweight Alternating Lateral Kick Through,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Animal Flow
18,Ring L Sit Hang Flutter Kicks ,Intermediate,Abdominals,Rectus Abdominis,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
19,Slam Ball Russian Twist,Intermediate,Abdominals,Obliques,Slam Ball,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
20,Dumbbell Otis Up,Novice,Abdominals,Rectus Abdominis,Dumbbell,0,Supine,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
21,Single Arm Dumbbell Side Plank Reach Through ,Advanced,Abdominals,Obliques,Dumbbell,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
22,Ab Wheel Kneeling Rollout,Novice,Abdominals,Rectus Abdominis,Ab Wheel,0,Prone,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
23,Cable Seated Crunch,Novice,Abdominals,Rectus Abdominis,Cable,1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
24,Cable Kneeling Crunch,Novice,Abdominals,Rectus Abdominis,Cable,0,Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
25,Medicine Ball V Up,Novice,Abdominals,Rectus Abdominis,Medicine Ball,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
26,Suspension Knee Tuck,Novice,Abdominals,Rectus Abdominis,Suspension Trainer,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
27,Suspension Lateral Knee Tuck,Intermediate,Abdominals,Rectus Abdominis,Suspension Trainer,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
28,Suspension Archer Row ,Novice,Shoulders,Posterior Deltoids,Suspension Trainer,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Unsorted*
29,Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Obliques,Dumbbell,0,Supine,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Other,Unilateral,Grinds
30,Bodyweight Bear Crawl,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Contralateral,Animal Flow
31,Stability Ball Knee Tuck,Novice,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
32,Ring Hanging Leg Raise ,Advanced,Abdominals,Rectus Abdominis,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
33,Parallette L Sit,Advanced,Abdominals,Rectus Abdominis,Parallette Bars,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
34,Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Standing,Double Arm,Alternating,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
35,Ring Eccentric Pull Up,Novice,Back,Latissimus Dorsi,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Calisthenics
36,Barbell Climb,Expert,Abdominals,Rectus Abdominis,Barbell,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
37,Bodyweight Ipsilateral Bird Dog,Advanced,Abdominals,Rectus Abdominis,Bodyweight,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Ipsilateral,Unsorted*
38,Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Adductor Magnus,Bodyweight,1,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,Foot Elevated (Side),Single Exercise,Lower Body,Other,Unilateral,Unsorted*
39,Ring Eccentric Chin Up,Novice,Biceps,Biceps Brachii,Gymnastic Rings,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Calisthenics
40,Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Posterior Deltoids,Dumbbell,1,Seated,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Unsorted*
41,Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Dumbbell,1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
42,Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Dumbbell,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
43,Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Posterior Deltoids,Cable,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Unsorted*
44,Miniband Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Miniband,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
45,Medicine Ball Russian Twist,Novice,Abdominals,Obliques,Medicine Ball,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
46,Bodyweight Side Plank,Novice,Abdominals,Obliques,Bodyweight,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
47,Cable Reverse Crunch,Intermediate,Abdominals,Rectus Abdominis,Cable,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
48,Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Cable,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
49,Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Cable,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
50,Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,Sliders,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
51,Cable Rope Staggered Stance High to Low Chop ,Intermediate,Abdominals,Obliques,Cable,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
52,Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Obliques,Cable,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
53,Single Arm Dumbbell Windmill,Intermediate,Abdominals,Obliques,Dumbbell,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
54,Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Adductors,Adductor Magnus,Sliders,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
55,Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,Sliders,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
56,Bodyweight Feet On Wall Mountain Climber ,Advanced,Abdominals,Rectus Abdominis,Bodyweight,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,Feet Elevated,Single Exercise,Midsection,Other,Unilateral,Calisthenics
57,Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Sliders,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
58,Bodyweight Hollow Body Hold,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
59,Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,Dumbbell,0,Supine,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
60,Bar Inverted Hanging Crunch,Expert,Abdominals,Rectus Abdominis,Pull Up Bar,0,Inverted ,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
61,Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Obliques,Bodyweight,0,Inverted ,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
62,Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Sliders,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
63,Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
64,Bodyweight Supine Leg Raise,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
65,Miniband Bicycle Crunch,Novice,Abdominals,Obliques,Miniband,0,Supine,No Arms,Alternating,Head Supported,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
66,Bodyweight Side Plank Reach Through,Novice,Abdominals,Obliques,Bodyweight,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
67,Bodyweight Sit Up,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
68,Bodyweight Butterfly Sit Up,Novice,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
69,Slider Mountain Climber,Novice,Abdominals,Rectus Abdominis,Sliders,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
70,Slider Pike ,Advanced,Abdominals,Rectus Abdominis,Sliders,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
71,Stability Ball Pike,Advanced,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
72,Slider Wide Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,Sliders,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
73,Stability Ball Crunch,Beginner,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
74,Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Obliques,Stability Ball,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Midsection,Other,Bilateral,Unsorted*
75,Stability Ball Kneeling Rollout,Beginner,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
76,Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Foot Elevated,Single Exercise,Midsection,Other,Unilateral,Unsorted*
77,Stability Ball Single Leg Pike,Expert,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Foot Elevated,Single Exercise,Midsection,Other,Unilateral,Unsorted*
78,Double Dumbbell Z Press,Novice,Shoulders,Anterior Deltoids,Dumbbell,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
79,Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Sliders,2,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
80,Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Dumbbell,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Lower Body,Pull,Bilateral,Bodybuilding
81,Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Obliques,Dumbbell,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
82,Bodyweight Single Leg Glute Bridge,Novice,Glutes,Gluteus Maximus,Bodyweight,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
83,Dumbbell Glute Bridge,Beginner,Glutes,Gluteus Maximus,Dumbbell,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
84,Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
85,Miniband Side Lying Clamshell,Beginner,Glutes,Gluteus Maximus,Miniband,0,Side Lying,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
86,Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Gluteus Medius,Miniband,0,Side Lying,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
87,Miniband Bench Seated Hip Abduction,Beginner,Abductors,Gluteus Medius,Miniband,1,Seated,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Bilateral,Bodybuilding
88,Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Gluteus Maximus,Miniband,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Bilateral,Bodybuilding
89,Stability Ball Hip Thrust,Beginner,Glutes,Gluteus Maximus,Stability Ball,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
90,Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Gluteus Maximus,Stability Ball,1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
91,Bodyweight Frog Pump,Beginner,Glutes,Gluteus Maximus,Bodyweight,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Unsorted*
92,Dumbbell Frog Pump,Beginner,Glutes,Gluteus Maximus,Dumbbell,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Unsorted*
93,Cable Glute Kickback,Novice,Glutes,Gluteus Maximus,Cable,0,Standing,No Arms,Continuous,Hand Assisted,Other,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
94,Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Bodyweight,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
95,Suspension Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Suspension Trainer,0,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Feet Elevated,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
96,Miniband Thigh Lateral Walk,Beginner,Abductors,Gluteus Medius,Miniband,0,Walking,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
97,Miniband Ankle Lateral Walk,Novice,Abductors,Gluteus Medius,Miniband,0,Walking,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
98,Miniband Feet Lateral Walk,Intermediate,Abductors,Gluteus Medius,Miniband,0,Walking,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
99,Miniband Standing Glute Kickback,Novice,Glutes,Gluteus Maximus,Miniband,0,Standing,No Arms,Continuous,Hand Assisted,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
100,Barbell Hip Thrust,Novice,Glutes,Gluteus Maximus,Barbell,1,Bridge,Double Arm,Continuous,Pronated,Hip Crease,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
101,Barbell Single Leg Hip Thrust,Intermediate,Glutes,Gluteus Maximus,Barbell,1,Single Leg Bridge,Double Arm,Continuous,Pronated,Hip Crease,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
102,Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,Stability Ball,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
103,Miniband Standing Hip Abduction,Novice,Abductors,Gluteus Medius,Miniband,0,Standing,No Arms,Continuous,Hand Assisted,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Bilateral,Bodybuilding
104,Miniband 3 Way Cha Cha,Beginner,Abductors,Gluteus Medius,Miniband,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
105,Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Sliders,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Push,Contralateral,Bodybuilding
106,Cable Hip Abduction,Novice,Abductors,Gluteus Medius,Cable,0,Standing,No Arms,Continuous,Hand Assisted,Other,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Unsorted*
107,Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Quadriceps Femoris,Miniband,0,Wall Sit,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lower Body,Other,Bilateral,Unsorted*
108,Slider Barbell Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,Sliders,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
109,Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Anterior Deltoids,Dumbbell,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Contralateral,Bodybuilding
110,Barbell Shrug,Novice,Trapezius,Upper Trapezius,Barbell,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
111,Cable Face Pull,Novice,Shoulders,Posterior Deltoids,Cable,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
112,Cable Seated Face Pull,Novice,Shoulders,Posterior Deltoids,Cable,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Unsorted*
113,Cable Guillotine Curl,Novice,Biceps,Biceps Brachii,Cable,0,Supine,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
114,Cable Supine Bicep Curl,Novice,Biceps,Biceps Brachii,Cable,0,Supine,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
115,High Cable Straight Bar Bicep Curl,Novice,Biceps,Biceps Brachii,Cable,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
116,Double Dumbbell Spider Curl,Novice,Biceps,Biceps Brachii,Dumbbell,1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
117,EZ Bar Spider Curl,Novice,Biceps,Biceps Brachii,EZ Bar,1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
118,Stability Ball Cable Preacher Curl,Novice,Biceps,Biceps Brachii,Stability Ball,1,Prone,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
119,Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Biceps Brachii,Dumbbell,0,Standing,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Bodybuilding
120,EZ Bar Wide Grip Bicep Curl,Novice,Biceps,Biceps Brachii,EZ Bar,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
121,Single Arm Cable Standing High Bicep Curl,Novice,Biceps,Biceps Brachii,Cable,0,Standing,Single Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Bodybuilding
