Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
349,Landmine Zercher Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Landmine,0,Single Leg Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Balance
350,Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,Landmine,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Full Body,Push,Contralateral,Unsorted*
351,Landmine Thruster,Novice,Quadriceps,Quadriceps Femoris,Landmine,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Bilateral,Bodybuilding
352,Landmine Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Landmine,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Bilateral,Bodybuilding
353,Landmine Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Landmine,0,Single Leg Standing,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Lower Body,Unsorted*,Unilateral,Bodybuilding
354,Landmine Tall Kneeling Oblique Twist,Intermediate,Abdominals,Obliques,Landmine,0,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
355,Landmine Feet Elevated Russian Twist,Intermediate,Abdominals,Obliques,Landmine,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
356,Single Arm Landmine Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Landmine,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Full Body,Push,Unilateral,Bodybuilding
357,Double Kettlebell Tall Kneeling Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Kettlebell,0,Tall Kneeling,Double Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Unilateral,Bodybuilding
358,Single Arm Kettlebell Arm Bar,Novice,Shoulders,Infraspinatus,Kettlebell,0,Supine,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Other,Unilateral,Mobility
359,Barbell Power Clean to Overhead Press,Expert,Shoulders,Anterior Deltoids,Barbell,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Full Body,Push & Pull,Bilateral,Olympic Weightlifting 
360,Single Arm Suspension Mid Row,Novice,Back,Latissimus Dorsi,Suspension Trainer,0,Standing,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Unilateral,Bodybuilding
